Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
1941669,"February 28, 2021",Indiana,East Chicago,1205 W Chicago Ave,0,4,0,0,0,,"41.629067, -87.486556","https://www.google.com/maps?q=41.62906704586,-87.486555703526",41.62906704586,-87.486555703526,Match,"1205 W CHICAGO AVE, EAST CHICAGO, IN, 46312"
1940791,"February 28, 2021",Delaware,Dover,21 S Little Creek Rd,0,4,0,0,2,,"39.157479, -75.509252","https://www.google.com/maps?q=39.157478930453,-75.509252048608",39.157478930453,-75.509252048608,Match,"21 S LITTLE CREEK RD, DOVER, DE, 19901"
1941647,"February 28, 2021",South Carolina,Mccormick,437 Talbert Rd,0,4,0,0,1,,"33.907060, -82.311775","https://www.google.com/maps?q=33.907060266191,-82.31177452459",33.907060266191,-82.31177452459,Match,"437 TALBERT RD, MC CORMICK, SC, 29835"
1941444,"February 28, 2021",Louisiana,Shreveport,4914 Mansfield Rd,0,5,0,0,0,,"32.464520, -93.775795","https://www.google.com/maps?q=32.464520198232,-93.775794670522",32.464520198232,-93.775794670522,Match,"4914 MANSFIELD RD, SHREVEPORT, LA, 71108"
1941210,"February 28, 2021",Texas,Houston,13484 Northwest Fwy,0,4,0,0,0,,"29.851126, -95.508628","https://www.google.com/maps?q=29.851125651775,-95.508628034286",29.851125651775,-95.508628034286,Match,"13484 NORTHWEST FWY, HOUSTON, TX, 77040"
1940190,"February 27, 2021",Mississippi,Pattison,Pattison-Tillman Rd,2,3,0,0,6,,Pattison-Tillman Rd,,,,No_Match,
1943271,"February 27, 2021",Mississippi,Columbus,1200 block of 7th St S,0,4,0,0,0,,1200 block of 7th St S,,,,No_Match,
1939789,"February 26, 2021",Louisiana,Baton Rouge,4700 block of Paige St,0,4,0,0,0,,"30.516914, -91.144689","https://www.google.com/maps?q=30.516914055001,-91.144689483447",30.516914055001,-91.144689483447,Match,"4700 PAIGE ST, BATON ROUGE, LA, 70811"
1940069,"February 26, 2021",Texas,Houston,8708 Beechnut St,1,5,0,0,0,,"29.690726, -95.537854","https://www.google.com/maps?q=29.69072555709,-95.537853948611",29.69072555709,-95.537853948611,Match,"8708 BEECHNUT ST, HOUSTON, TX, 77036"
1939958,"February 26, 2021",California,San Diego,841 S 45th St,1,3,0,0,0,,"32.697382, -117.097979","https://www.google.com/maps?q=32.697381955792,-117.097979149255",32.697381955792,-117.097979149255,Match,"841 S 45TH ST, SAN DIEGO, CA, 92113"
